Q. No,A1,B1,C1,D1
1,3,1,2,3
2,3,1,3,1
3,3,4,3,2
4,4,4,2,1
5,3,3,1,4
6,4,2,3,4
7,1,2,3,3
8,1,4,3,4
9,2,2,4,1
10,1,2,3,1
11,2,4,2,4
12,2,3,3,4
13,2,4,1,4
14,2,2,2,4
15,2,2,4,3
16,1,3,3,2
17,4,1,4,4
18,2,2,1,4
19,2,3,2,3
20,3,2,3,1
21,3,3,1,2
22,1,3,1,3
23,2,3,4,3
24,1,4,4,2
25,4,3,3,1
26,4,4,2,3
27,3,1,2,3
28,4,1,4,3
29,1,2,2,4
30,1,1,2,3
31,4,2,4,2
32,4,2,3,3
33,4,2,4,1
34,4,2,2,2
35,3,2,2,4
36,2,1,3,3
37,4,4,1,4
38,4,2,2,1
39,3,2,3,2
40,1,3,2,3
41,2,3,3,1
42,3,1,3,1
43,3,2,3,4
44,2,1,4,4
45,1,4,3,3
46,3,4,4,2
47,3,3,1,2
48,3,4,1,4
49,4,1,2,2
50,3,1,1,2
51,2,4,2,4
52,3,4,2,3
53,1,4,2,4
54,2,4,2,2
55,4,3,2,2
56,3,2,1,3
57,4,4,4,1
58,1,4,2,2
59,2,3,2,3
60,3,1,3,2
61,1,2,3,3
62,1,3,1,3
63,4,3,2,3
64,4,2,1,4
65,3,1,4,3
66,2,3,4,4
67,2,3,3,1
68,4,3,4,1
69,2,4,1,2
70,2,3,1,1
71,4,2,4,2
72,3,3,4,2
73,4,1,4,2
74,2,2,4,2
75,2,4,3,2
76,3,3,2,1
77,1,4,4,4
78,2,1,4,2
79,3,2,3,2
80,2,3,1,3
81,3,2,2,4
82,1,2,3,2
83,2,1,4,2
84,3,3,2,3
85,1,1,4,2
86,4,3,2,2
87,2,1,1,3
88,2,2,1,4
89,3,3,3,2
90,2,1,1,4
91,2,4,3,2
92,3,2,1,2
93,4,2,2,1
94,2,3,3,3
95,4,2,1,1
96,2,2,4,3
97,2,3,2,1
98,1,4,2,2
99,3,2,3,3
100,1,4,2,1
